InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
560234,85099B,jumbo bag red retrospot,100,2011-07-17 11:21:00,1.79,16180.0,United Kingdom,179.0
570223,22496,set of 2 round tins dutch cheese,1,2011-10-09 13:11:00,2.95,15787.0,United Kingdom,2.95
562204,23322,large white heart of wicker,5,2011-08-03 12:54:00,2.95,16324.0,United Kingdom,14.75
576213,23376,pack of 12 vintage christmas tissue,12,2011-11-14 12:47:00,0.39,18117.0,United Kingdom,4.68
542617,85036C,rose 1 wick morris boxed candle,3,2011-01-30 15:48:00,4.25,17463.0,United Kingdom,12.75
577174,22979,pantry washing up brush,2,2011-11-18 10:58:00,1.45,17841.0,United Kingdom,2.9
541434,22113,grey heart hot water bottle,8,2011-01-18 10:22:00,3.75,14911.0,EIRE,30.0
548014,21400,red pudding spoon,24,2011-03-29 11:29:00,0.12,17719.0,United Kingdom,2.88
555746,85114A,black enchanted forest placemat,2,2011-06-07 10:55:00,1.65,14606.0,United Kingdom,3.3
575410,85099B,jumbo bag red retrospot,20,2011-11-09 15:50:00,2.08,17705.0,United Kingdom,41.6
538849,20771,chrysanthemum  journal,3,2010-12-14 13:31:00,2.55,14415.0,United Kingdom,7.6499999999999995
578928,22726,alarm clock bakelike green,2,2011-11-27 12:29:00,3.75,15443.0,United Kingdom,7.5
574707,23356,love hot water bottle,1,2011-11-06 14:08:00,5.95,17107.0,United Kingdom,5.95
538635,22926,ivory giant garden thermometer,1,2010-12-13 13:32:00,5.95,17303.0,United Kingdom,5.95
538255,84609,tall rococo candle holder,4,2010-12-10 12:33:00,8.5,14911.0,EIRE,34.0
542602,21670,blue spot ceramic drawer knob,4,2011-01-30 12:09:00,1.25,15579.0,United Kingdom,5.0
543040,22417,pack of 60 spaceboy cake cases,1,2011-02-02 17:06:00,0.55,17337.0,United Kingdom,0.55
548509,22207,frying pan union flag,40,2011-03-31 15:00:00,4.25,14543.0,United Kingdom,170.0
552835,22906,12 message cards with envelopes,12,2011-05-11 14:17:00,1.65,17664.0,United Kingdom,19.799999999999997
541223,84378,set of 3 heart cookie cutters,2,2011-01-14 14:39:00,1.25,17954.0,United Kingdom,2.5
579550,22221,cake stand lovebird 2 tier pink,2,2011-11-30 10:48:00,9.95,12630.0,Finland,19.9
551860,20914,set/5 red retrospot lid glass bowls,3,2011-05-04 15:41:00,2.95,15508.0,United Kingdom,8.850000000000001
547171,48194,doormat hearts,2,2011-03-21 12:13:00,7.95,17849.0,United Kingdom,15.9
576364,23421,pantry hook spatula,2,2011-11-14 17:40:00,2.08,15009.0,United Kingdom,4.16
544910,22193,red diner wall clock,2,2011-02-24 14:32:00,8.5,16072.0,United Kingdom,17.0
581476,84510A,set of 4 english rose coasters,20,2011-12-09 08:48:00,1.25,12433.0,Norway,25.0
556784,21034,rex cash+carry jumbo shopper,2,2011-06-14 13:15:00,0.95,14461.0,United Kingdom,1.9
549966,85194L,hanging spring flower egg large,12,2011-04-13 14:17:00,0.85,16224.0,United Kingdom,10.2
574714,21224,set/4 skull badges,1,2011-11-06 14:29:00,1.25,15427.0,United Kingdom,1.25
580659,22086,paper chain kit 50's christmas,1,2011-12-05 13:46:00,2.95,17811.0,United Kingdom,2.95
569899,23284,doormat keep calm and come in,2,2011-10-06 16:15:00,8.25,13940.0,United Kingdom,16.5
553846,84997B,childrens cutlery retrospot red,8,2011-05-19 12:40:00,4.15,15738.0,United Kingdom,33.2
566295,85152,hand over the chocolate   sign,1,2011-09-11 15:44:00,2.1,15547.0,United Kingdom,2.1
541570,22551,plasters in tin spaceboy,384,2011-01-19 12:34:00,1.45,14646.0,Netherlands,556.8
563578,20982,12 pencils tall tube skulls,12,2011-08-17 15:11:00,0.85,12949.0,United Kingdom,10.2
553490,15044B,blue paper parasol,6,2011-05-17 12:44:00,2.95,13309.0,United Kingdom,17.700000000000003
545428,22699,roses regency teacup and saucer,6,2011-03-02 14:43:00,2.95,14239.0,United Kingdom,17.700000000000003
544280,22189,cream heart card holder,4,2011-02-17 12:21:00,3.95,14754.0,United Kingdom,15.8
574681,22622,box of vintage alphabet blocks,4,2011-11-06 12:41:00,11.95,15156.0,United Kingdom,47.8
538511,84660B,black stitched wall clock,20,2010-12-12 13:56:00,1.25,13959.0,United Kingdom,25.0
563256,47503A,ass floral print multi screwdriver,24,2011-08-15 12:07:00,0.42,18143.0,United Kingdom,10.08
550803,21975,pack of 60 dinosaur cake cases,1,2011-04-20 15:25:00,0.55,18177.0,United Kingdom,0.55
569568,16236,kitty pencil erasers,28,2011-10-05 09:57:00,0.21,12700.0,France,5.88
545188,22616,pack of 12 london tissues,12,2011-02-28 15:19:00,0.29,14056.0,United Kingdom,3.4799999999999995
568213,22866,hand warmer scotty dog design,12,2011-09-25 16:06:00,2.1,15214.0,United Kingdom,25.200000000000003
545591,22661,charlotte bag dolly girl design,10,2011-03-04 10:28:00,0.85,17581.0,United Kingdom,8.5
580876,23389,spaceboy mini backpack,1,2011-12-06 12:12:00,4.15,14071.0,United Kingdom,4.15
564187,20724,red retrospot charlotte bag,6,2011-08-23 15:24:00,0.85,15005.0,United Kingdom,5.1
575517,22384,lunch bag pink polkadot,3,2011-11-10 10:49:00,1.65,14562.0,United Kingdom,4.949999999999999
558700,21244,blue polkadot plate,1,2011-07-01 12:33:00,1.69,17920.0,United Kingdom,1.69
554964,21829,dinosaur keyrings assorted,36,2011-05-27 15:57:00,0.21,15867.0,United Kingdom,7.56
569230,21905,more butter metal sign,1,2011-10-02 15:07:00,0.79,16533.0,United Kingdom,0.79
557431,21257,victorian sewing box medium,2,2011-06-20 12:37:00,7.95,18260.0,United Kingdom,15.9
576355,22772,pink drawer knob acrylic edwardian,24,2011-11-14 16:28:00,1.25,13089.0,United Kingdom,30.0
568686,85071C,"charlie+lola""extremely busy"" sign",5,2011-09-28 14:26:00,0.39,16115.0,United Kingdom,1.9500000000000002
563090,23191,bundle of 3 retro note books,12,2011-08-11 17:00:00,1.65,16186.0,United Kingdom,19.799999999999997
568193,71038,white hanging beads candle holder,24,2011-09-25 14:37:00,4.65,17107.0,United Kingdom,111.60000000000001
574892,22772,pink drawer knob acrylic edwardian,36,2011-11-07 14:40:00,1.25,14700.0,United Kingdom,45.0
541280,21199,pink  heart confetti in tube,12,2011-01-17 11:57:00,1.65,15296.0,United Kingdom,19.799999999999997
547583,22652,travel sewing kit,36,2011-03-24 11:07:00,1.65,12901.0,United Kingdom,59.4
562847,21114,lavender scented fabric heart,10,2011-08-10 09:34:00,1.25,16245.0,United Kingdom,12.5
537065,22619,set of 6 soldier skittles,4,2010-12-05 11:57:00,3.75,12567.0,France,15.0
576239,22683,french blue metal door sign 8,10,2011-11-14 13:33:00,1.25,15694.0,United Kingdom,12.5
556497,84978,hanging heart jar t-light holder,12,2011-06-12 15:31:00,1.25,15271.0,United Kingdom,15.0
579103,23401,rustic mirror with lace heart,1,2011-11-28 11:39:00,6.25,18041.0,United Kingdom,6.25
572058,22386,jumbo bag pink polkadot,1,2011-10-20 12:43:00,2.08,18252.0,United Kingdom,2.08
563842,23243,set of tea coffee sugar tins pantry,4,2011-08-19 13:54:00,4.95,13871.0,United Kingdom,19.8
546753,22291,hanging chick cream decoration,3,2011-03-16 13:00:00,1.45,16383.0,United Kingdom,4.35
573381,23082,set 6 paper table lantern hearts,2,2011-10-30 14:05:00,3.75,17590.0,United Kingdom,7.5
550899,21240,blue polkadot cup,8,2011-04-21 12:07:00,0.85,13505.0,Switzerland,6.8
568674,22728,alarm clock bakelike pink,8,2011-09-28 13:30:00,3.75,12708.0,Germany,30.0
574249,22910,paper chain kit vintage christmas,6,2011-11-03 13:01:00,2.95,16347.0,United Kingdom,17.700000000000003
577697,22726,alarm clock bakelike green,4,2011-11-21 12:02:00,3.75,15804.0,United Kingdom,15.0
537058,22531,magic drawing slate circus parade,24,2010-12-05 11:51:00,0.42,13269.0,United Kingdom,10.08
542904,22352,lunch box with cutlery retrospot,6,2011-02-01 14:58:00,2.55,12682.0,France,15.299999999999999
564639,23199,jumbo bag apples,2,2011-08-26 12:55:00,2.08,18036.0,United Kingdom,4.16
542114,22558,clothes pegs retrospot pack 24,12,2011-01-25 14:00:00,1.49,16943.0,United Kingdom,17.88
570410,23309,set of 60 i love london cake cases,2,2011-10-10 13:04:00,0.55,16776.0,United Kingdom,1.1
555650,22079,ribbon reel hearts design,10,2011-06-06 13:48:00,1.65,14156.0,EIRE,16.5
570206,48185,doormat fairy cake,10,2011-10-09 10:13:00,7.08,15465.0,United Kingdom,70.8
569846,22945,christmas metal tags assorted,12,2011-10-06 13:42:00,0.85,13422.0,United Kingdom,10.2
576911,23235,storage tin vintage leaf,1,2011-11-17 10:01:00,2.89,17461.0,United Kingdom,2.89
567097,22114,hot water bottle tea and sympathy,4,2011-09-16 13:23:00,4.25,13323.0,United Kingdom,17.0
578289,22978,pantry rolling pin,2,2011-11-23 14:07:00,3.75,17841.0,United Kingdom,7.5
578369,22175,pink owl soft toy,2,2011-11-24 11:10:00,2.95,14698.0,United Kingdom,5.9
552703,82580,bathroom metal sign,2,2011-05-10 16:00:00,0.55,14462.0,United Kingdom,1.1
570020,22557,plasters in tin vintage paisley,24,2011-10-07 10:18:00,1.65,12684.0,France,39.599999999999994
568786,85099B,jumbo bag red retrospot,20,2011-09-29 09:16:00,2.08,15144.0,United Kingdom,41.6
536783,22075,6 ribbons elegant christmas,24,2010-12-02 15:19:00,1.45,15061.0,United Kingdom,34.8
543598,48138,doormat union flag,12,2011-02-10 13:06:00,6.75,18230.0,United Kingdom,81.0
566560,22411,jumbo shopper vintage red paisley,12,2011-09-13 12:09:00,2.08,17092.0,United Kingdom,24.96
580680,22285,hanging hen on nest decoration,12,2011-12-05 14:51:00,1.65,13001.0,United Kingdom,19.799999999999997
573501,22383,lunch bag suki design,4,2011-10-31 12:02:00,1.65,18055.0,United Kingdom,6.6
571418,23067,hanging engraved metal heart,4,2011-10-17 12:35:00,4.15,16412.0,United Kingdom,16.6
536520,22754,small red babushka notebook,1,2010-12-01 12:43:00,0.85,14729.0,United Kingdom,0.85
572695,20750,red retrospot mini cases,2,2011-10-25 14:23:00,7.95,12610.0,Italy,15.9
544409,22842,biscuit tin vintage red,4,2011-02-18 13:32:00,6.75,16265.0,United Kingdom,27.0
549733,22438,balloon art make your own flowers,10,2011-04-11 16:56:00,1.95,17827.0,United Kingdom,19.5
544091,21670,blue spot ceramic drawer knob,12,2011-02-16 08:37:00,1.25,14897.0,United Kingdom,15.0
567866,21034,rex cash+carry jumbo shopper,3,2011-09-22 14:13:00,0.95,16669.0,United Kingdom,2.8499999999999996
559362,23159,set of 5 pancake day magnets,12,2011-07-08 08:43:00,2.08,12635.0,Germany,24.96
540501,20727,lunch bag  black skull.,30,2011-01-09 10:43:00,1.65,13162.0,United Kingdom,49.5
575685,23526,wall art dog licence,18,2011-11-10 15:57:00,5.35,15694.0,United Kingdom,96.3
552198,22250,decoration  butterfly  magic garden,2,2011-05-06 14:47:00,0.85,15552.0,United Kingdom,1.7
553860,22819,"birthday card, retro spot",12,2011-05-19 13:57:00,0.42,17841.0,United Kingdom,5.04
580695,22464,hanging metal heart lantern,2,2011-12-05 16:03:00,0.79,13230.0,United Kingdom,1.58
553547,23204,charlotte bag apples design,40,2011-05-17 15:48:00,0.85,12474.0,Germany,34.0
536945,22438,balloon art make your own flowers,1,2010-12-03 12:24:00,1.95,14083.0,United Kingdom,1.95
561911,22989,set 2 pantry design tea towels,6,2011-08-01 10:26:00,3.25,12534.0,Germany,19.5
545415,20971,pink blue felt craft trinket box,12,2011-03-02 13:03:00,1.25,15641.0,United Kingdom,15.0
563613,22635,childs breakfast set dolly girl,4,2011-08-18 08:49:00,9.95,12688.0,Israel,39.8
576933,23309,set of 60 i love london cake cases,1,2011-11-17 11:29:00,0.55,15529.0,United Kingdom,0.55
576364,21900,"key fob , shed",1,2011-11-14 17:40:00,0.65,15009.0,United Kingdom,0.65
562046,22965,3 traditional biscuit cutters  set,6,2011-08-02 10:34:00,2.1,12378.0,Switzerland,12.600000000000001
545155,82011A,"bathroom scales, tropical beach",1,2011-02-28 13:25:00,3.75,14527.0,United Kingdom,3.75
581405,23510,mini playing cards gymkhana,2,2011-12-08 13:50:00,0.42,13521.0,United Kingdom,0.84
574532,22379,recycling bag retrospot,5,2011-11-04 14:19:00,2.1,15676.0,United Kingdom,10.5
544824,22607,wooden rounders garden set,2,2011-02-24 09:32:00,9.95,17139.0,United Kingdom,19.9
546760,22697,green regency teacup and saucer,6,2011-03-16 14:00:00,2.95,12597.0,Spain,17.700000000000003
554812,23093,small parisienne heart photo frame,4,2011-05-26 13:21:00,2.49,15005.0,United Kingdom,9.96
537226,20781,gold ear muff headphones,2,2010-12-06 08:34:00,5.49,15987.0,United Kingdom,10.98
544450,22895,set of 2 tea towels apple and pears,2,2011-02-20 12:23:00,2.95,17811.0,United Kingdom,5.9
553828,21955,doormat union jack guns and roses,2,2011-05-19 11:24:00,7.95,17865.0,United Kingdom,15.9
580175,20961,strawberry bath sponge,50,2011-12-02 11:45:00,1.25,14126.0,United Kingdom,62.5
570885,20724,red retrospot charlotte bag,10,2011-10-13 10:20:00,0.85,14211.0,United Kingdom,8.5
538533,84992,72 sweetheart fairy cake cases,2,2010-12-13 10:31:00,0.55,14796.0,United Kingdom,1.1
580963,22835,hot water bottle i am so poorly,8,2011-12-06 14:49:00,4.95,14868.0,United Kingdom,39.6
568650,20676,red retrospot bowl,16,2011-09-28 11:56:00,1.25,13505.0,Switzerland,20.0
571288,23014,glass apothecary bottle elixir,2,2011-10-16 15:13:00,3.95,16052.0,United Kingdom,7.9
554108,23076,ice cream sundae lip gloss,24,2011-05-22 14:29:00,1.25,13668.0,United Kingdom,30.0
561542,22751,feltcraft princess olivia doll,48,2011-07-28 10:09:00,3.39,15105.0,United Kingdom,162.72
550250,47566,party bunting,4,2011-04-15 11:36:00,4.95,18171.0,United Kingdom,19.8
558877,21790,vintage snap cards,1,2011-07-04 13:50:00,0.85,17841.0,United Kingdom,0.85
552638,22990,cotton apron pantry design,4,2011-05-10 13:00:00,4.95,17700.0,United Kingdom,19.8
578852,22675,french kitchen sign blue metal,1,2011-11-27 11:12:00,1.25,17841.0,United Kingdom,1.25
573093,23350,roll wrap vintage spot,2,2011-10-27 14:38:00,1.25,18283.0,United Kingdom,2.5
563262,21467,cherry crochet food cover,1,2011-08-15 12:44:00,3.75,15311.0,United Kingdom,3.75
546117,22961,jam making set printed,4,2011-03-09 13:56:00,1.45,16771.0,United Kingdom,5.8
547358,22029,spaceboy birthday card,12,2011-03-22 12:25:00,0.42,15998.0,United Kingdom,5.04
563935,84992,72 sweetheart fairy cake cases,2,2011-08-21 16:24:00,0.55,15547.0,United Kingdom,1.1
576602,23456,medium parlour frame,18,2011-11-15 15:20:00,3.75,14156.0,EIRE,67.5
561889,20726,lunch bag woodland,10,2011-07-31 13:37:00,1.65,15804.0,United Kingdom,16.5
578028,20727,lunch bag  black skull.,1,2011-11-22 13:30:00,1.65,17371.0,United Kingdom,1.65
560711,82552,washroom metal sign,1,2011-07-20 12:58:00,1.45,17841.0,United Kingdom,1.45
573340,47591D,pink fairy cake childrens apron,1,2011-10-30 11:55:00,1.95,14159.0,United Kingdom,1.95
572311,23394,poste france cushion cover,2,2011-10-23 15:45:00,3.75,14035.0,United Kingdom,7.5
547062,82581,toilet metal sign,2,2011-03-20 13:28:00,0.55,16728.0,United Kingdom,1.1
559878,22063,ceramic bowl with strawberry design,2,2011-07-13 11:19:00,2.95,15493.0,United Kingdom,5.9
570019,23094,le grand tray chic set,1,2011-10-07 10:13:00,12.5,17841.0,United Kingdom,12.5
562914,22712,card dolly girl,12,2011-08-10 13:25:00,0.42,16558.0,United Kingdom,5.04
545410,16156S,wrap pink fairy cakes,25,2011-03-02 12:18:00,0.42,16670.0,United Kingdom,10.5
536798,22427,enamel flower jug cream,1,2010-12-02 15:55:00,5.95,17838.0,United Kingdom,5.95
574481,23120,pack of 6 small fruit straws,1,2011-11-04 12:45:00,0.42,18022.0,United Kingdom,0.42
571038,72351A,set/6 turquoise butterfly t-lights,1,2011-10-13 12:58:00,2.1,15511.0,United Kingdom,2.1
557129,21531,red retrospot sugar jam bowl,1,2011-06-16 19:59:00,2.55,17841.0,United Kingdom,2.55
562680,20983,12 pencils tall tube red retrospot,1,2011-08-08 13:46:00,0.85,17954.0,United Kingdom,0.85
567917,22577,wooden heart christmas scandinavian,72,2011-09-22 17:19:00,0.29,14298.0,United Kingdom,20.88
562542,21519,gin & tonic diet greeting card,12,2011-08-05 15:40:00,0.42,17377.0,United Kingdom,5.04
572520,23434,3 raffia ribbons 50's christmas,10,2011-10-24 15:05:00,0.79,13165.0,United Kingdom,7.9
537429,20975,12 pencils small tube red retrospot,2,2010-12-06 15:54:00,0.65,12748.0,United Kingdom,1.3
574368,23569,tradtional alphabet stamp set,4,2011-11-04 10:59:00,4.95,13004.0,United Kingdom,19.8
563709,20956,porcelain t-light holders assorted,3,2011-08-18 15:17:00,1.25,15472.0,United Kingdom,3.75
579555,21164,home sweet home metal sign,2,2011-11-30 11:08:00,2.95,16241.0,United Kingdom,5.9
567656,21935,suki  shoulder bag,4,2011-09-21 14:40:00,1.63,14096.0,United Kingdom,6.52
579196,22564,alphabet stencil craft,3,2011-11-28 15:54:00,2.46,14096.0,United Kingdom,7.38
571046,84012,magic sheep wool growing from paper,5,2011-10-13 13:35:00,0.85,18096.0,United Kingdom,4.25
553188,85123A,white hanging heart t-light holder,12,2011-05-15 12:55:00,2.95,15379.0,United Kingdom,35.400000000000006
580400,22086,paper chain kit 50's christmas,6,2011-12-04 11:50:00,2.95,16561.0,United Kingdom,17.700000000000003
560931,47599A,pink party bags,26,2011-07-22 10:25:00,2.1,16365.0,United Kingdom,54.6
577700,84378,set of 3 heart cookie cutters,1,2011-11-21 12:06:00,1.45,14449.0,United Kingdom,1.45
550955,22083,paper chain kit retrospot,6,2011-04-21 16:26:00,2.95,14189.0,United Kingdom,17.700000000000003
549993,22630,dolly girl lunch box,24,2011-04-14 08:26:00,1.95,14057.0,United Kingdom,46.8
571498,22671,french laundry sign blue metal,1,2011-10-17 15:06:00,1.65,17841.0,United Kingdom,1.65
575932,20728,lunch bag cars blue,10,2011-11-13 10:35:00,1.65,16923.0,United Kingdom,16.5
554827,22482,blue tea towel classic design,96,2011-05-26 15:19:00,1.06,14646.0,Netherlands,101.76
547001,21704,bag 250g swirly marbles,144,2011-03-18 13:52:00,0.72,16656.0,United Kingdom,103.67999999999999
577720,22811,set of 6 t-lights cacti,96,2011-11-21 12:21:00,2.55,16013.0,United Kingdom,244.79999999999998
556733,21907,i'm on holiday metal sign,1,2011-06-14 11:53:00,2.1,16919.0,United Kingdom,2.1
547063,22408,money box confectionery design,1,2011-03-20 13:33:00,1.25,14769.0,United Kingdom,1.25
539353,82494L,wooden frame antique white,6,2010-12-17 11:30:00,2.95,12782.0,Portugal,17.700000000000003
559544,22210,wood stamp set best wishes,1,2011-07-10 13:52:00,0.83,17126.0,United Kingdom,0.83
554842,22514,childs garden spade blue,6,2011-05-26 18:17:00,2.1,14740.0,United Kingdom,12.600000000000001
565443,23345,dolly girl beaker,12,2011-09-04 14:22:00,1.25,12567.0,France,15.0
551533,21669,blue stripe ceramic drawer knob,1,2011-05-01 14:58:00,1.25,15407.0,United Kingdom,1.25
568897,23427,stool home sweet home,1,2011-09-29 13:17:00,12.5,13886.0,United Kingdom,12.5
550473,22399,magnets pack of 4 childhood memory,1,2011-04-18 13:54:00,1.25,14623.0,United Kingdom,1.25
558437,20677,pink polkadot bowl,4,2011-06-29 12:46:00,1.25,17799.0,United Kingdom,5.0
539086,79000,moroccan tea glass,24,2010-12-16 09:35:00,0.85,17001.0,United Kingdom,20.4
544675,22677,french blue metal door sign 2,5,2011-02-22 15:59:00,1.25,16011.0,United Kingdom,6.25
561653,16219,house shape pencil sharpener,48,2011-07-28 15:55:00,0.06,14002.0,United Kingdom,2.88
573866,22909,set of 20 vintage christmas napkins,12,2011-11-01 12:06:00,0.85,17495.0,United Kingdom,10.2
545683,84945,multi colour silver t-light holder,24,2011-03-06 11:50:00,0.85,14903.0,United Kingdom,20.4
576927,22580,advent calendar gingham sack,3,2011-11-17 11:02:00,5.95,12567.0,France,17.85
566319,23271,christmas table silver candle spike,16,2011-09-12 11:25:00,0.83,13431.0,United Kingdom,13.28
579121,23077,doughnut lip gloss,20,2011-11-28 12:01:00,1.25,17299.0,United Kingdom,25.0
566038,21756,bath building block word,3,2011-09-08 13:26:00,6.25,14511.0,United Kingdom,18.75
556629,23148,miniature antique rose hook ivory,24,2011-06-13 14:55:00,0.83,14841.0,United Kingdom,19.919999999999998
574103,23397,foot stool home sweet home,2,2011-11-03 10:30:00,9.95,13636.0,United Kingdom,19.9
561817,23202,jumbo bag vintage leaf,30,2011-07-29 15:51:00,2.08,12921.0,United Kingdom,62.400000000000006
566647,21212,pack of 72 retrospot cake cases,1,2011-09-14 11:21:00,0.55,18001.0,United Kingdom,0.55
575222,23320,giant 50's christmas cracker,4,2011-11-09 11:33:00,2.89,16880.0,United Kingdom,11.56
547623,21524,doormat spotty home sweet home,2,2011-03-24 11:29:00,7.95,15641.0,United Kingdom,15.9
542898,84992,72 sweetheart fairy cake cases,1,2011-02-01 14:01:00,0.55,16110.0,United Kingdom,0.55
564856,22325,mobile vintage hearts,3,2011-08-31 09:11:00,4.95,12477.0,Germany,14.850000000000001
548664,23177,treasure island book box,8,2011-04-01 14:45:00,2.25,14911.0,EIRE,18.0
543800,21078,set/20 strawberry paper napkins,2,2011-02-13 11:36:00,0.85,17282.0,United Kingdom,1.7
550911,21246,red retrospot big bowl,6,2011-04-21 13:11:00,4.95,12354.0,Spain,29.700000000000003
572882,23434,3 raffia ribbons 50's christmas,10,2011-10-26 13:36:00,0.79,18226.0,United Kingdom,7.9
